BorrowerID,Loan_Date,Property_Type,Down_Payment_Pct,Loan_Term_Years_Remaining,Credit_Utilization
1,02/2022,Single Family,0.2,15,0.43
B0002,10/2021,Multi-Family,0.18,10,0.77
B0003,2022-05,Condo,0.06,25,0.75
4,2018/11,Multi-Family,0.12,25,0.38
B0005,2020/02,Single Family,0.28,10,0.59
B0006,03/2021,Condo,0.11,15,0.56
7,2018/12,Condo,0.09,10,0.67
B0008,2022-03,Condo,0.17,25,0.33
B0009,11-2020,Multi-Family,0.3,30,0.63
10,06-2019,Single Family,0.11,30,0.98
B0011,2022-09,Condo,0.22,20,0.54
B0012,06/2022,Condo,0.24,10,0.92
13,2018/02,Condo,0.11,10,0.49
B0014,2020-04,Multi-Family,0.23,20,0.42
B0015,2019-10,Multi-Family,0.14,20,0.68
16,12/2018,Single Family,0.21,20,0.7
B0017,09-2018,Multi-Family,0.21,25,0.88
B0018,11/2019,Condo,0.18,10,0.31
19,2022/03,Single Family,0.07,25,0.55
B0020,10/2022,Condo,0.26,20,0.61
B0021,09-2019,Condo,0.13,10,0.79
22,2020/07,Multi-Family,0.1,25,0.14
B0023,09/2021,Single Family,0.06,25,1
B0024,04-2018,Multi-Family,0.2,20,0.52
25,2018-06,Multi-Family,0.22,10,0.35
B0026,09-2022,Single Family,0.05,20,0.9
B0027,2022-04,Condo,0.18,10,0.77
28,2018-12,Condo,0.11,30,0.96
B0029,2019-02,Single Family,0.21,15,0.4
B0030,02-2020,Condo,0.09,15,0.6
31,11/2020,Single Family,0.22,15,0.62
B0032,09-2019,Single Family,0.15,20,0.98
B0033,10/2022,Multi-Family,0.28,30,0.17
34,08/2019,Single Family,0.08,10,0.38
B0035,2019-02,Multi-Family,0.14,25,0.27
B0036,06/2021,Condo,0.08,10,0.34
37,2021-08,Condo,0.28,25,0.54
B0038,01/2018,Condo,0.27,10,0.44
B0039,02-2020,Condo,0.11,30,0.46
40,04/2019,Multi-Family,0.21,25,0.86
